"substance","marker_residue","species","MRL","target_tissue","other_provisions","therapeutic_class","MRL_value","MRL_units","target_tissue_comb"
"Sulfonamides
                           (all substances belonging to the sulfonamide group)","Parent drug","All food-producing species","100 μg/kg","Liver","The combined total residues of all substances within the sulfonamide group should not exceed 100 μg/kg.
                           For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Chemotheurapeutics/",100,"μg/kg","liver"
"Sulfonamides
                           (all substances belonging to the sulfonamide group)","Parent drug","All food-producing species","100 μg/kg","Kidney","The combined total residues of all substances within the sulfonamide group should not exceed 100 μg/kg.
                           For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Chemotheurapeutics/",100,"μg/kg","kidney"
"Sulfonamides
                           (all substances belonging to the sulfonamide group)","Parent drug","Bovine, ovine, caprine","100 μg/kg","Milk","The combined total residues of all substances within the sulfonamide group should not exceed 100 μg/kg.
                           For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Chemotheurapeutics/",100,"μg/kg","milk"
"Sulphur","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Symphyti radix","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For topical use on intact skin only.","NO ENTRY",NA,NA,NA
"Syzygium cumini","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias at concentrations corresponding to the mother tincture and dilutions thereof only.","NO ENTRY",NA,NA,NA
"Tanninum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"L-tartaric acid and its mono- and di-basic salt of sodium, potassium and calcium","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use as excipient.","NO ENTRY",NA,NA,NA
"Tau fluvalinate","NOT APPLICABLE","Bees","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Teflubenzuron","Teflubenzuron","Salmonidae","500 μg/kg","Muscle and skin in natural proportions","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",500,"μg/kg","skin_muscle"
"Terebinthinae aetheroleum rectificatum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Terebinthinae laricina","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Terpin hydrate","NOT APPLICABLE","Bovine, ovine, caprine, porcine","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Tetracaine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use as anaesthetic only.","NO ENTRY",NA,NA,NA
"Tetracycline","Sum of parent drug and its 4- epimer","All food-producing species","100 μg/kg","Muscle","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for liver and kidney do not apply to fin fish.","Anti-infectious agents/Antibiotics",100,"μg/kg","muscle"
"Tetracycline","Sum of parent drug and its 4- epimer","All food-producing species","300 μg/kg","Liver","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for liver and kidney do not apply to fin fish.","Anti-infectious agents/Antibiotics",300,"μg/kg","liver"
"Tetracycline","Sum of parent drug and its 4- epimer","All food-producing species","600 μg/kg","Kidney","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for liver and kidney do not apply to fin fish.","Anti-infectious agents/Antibiotics",600,"μg/kg","kidney"
"Tetracycline","Sum of parent drug and its 4- epimer","All food-producing species","100 μg/kg","Milk","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for liver and kidney do not apply to fin fish.","Anti-infectious agents/Antibiotics",100,"μg/kg","milk"
"Tetracycline","Sum of parent drug and its 4- epimer","All food-producing species","200 μg/kg","Eggs","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for liver and kidney do not apply to fin fish.","Anti-infectious agents/Antibiotics",200,"μg/kg","eggs"
"Theobromine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Theophylline","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Thiabendazole","Sum of thiabendazole and 5-hydroxythiabendazole","Bovine, caprine","100 μg/kg","Muscle","NO ENTRY","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","muscle"
"Thiabendazole","Sum of thiabendazole and 5-hydroxythiabendazole","Bovine, caprine","100 μg/kg","Fat","NO ENTRY","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","fat"
"Thiabendazole","Sum of thiabendazole and 5-hydroxythiabendazole","Bovine, caprine","100 μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","liver"
"Thiabendazole","Sum of thiabendazole and 5-hydroxythiabendazole","Bovine, caprine","100 μg/kg","Kidney","NO ENTRY","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","kidney"
"Thiabendazole","Sum of thiabendazole and 5-hydroxythiabendazole","Bovine, caprine","100 μg/kg","Milk","NO ENTRY","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","milk"
"Thiamphenicol","Thiamphenicol","All food producing species","50 μg/kg","Muscle","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","muscle"
"Thiamphenicol","Thiamphenicol","All food producing species","50 μg/kg","Fat","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","fat"
"Thiamphenicol","Thiamphenicol","All food producing species","50 μg/kg","Liver","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","liver"
"Thiamphenicol","Thiamphenicol","All food producing species","50 μg/kg","Kidney","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","kidney"
"Thiamphenicol","Thiamphenicol","All food producing species","50 μg/kg","Milk","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","milk"
"Thiamylal","NOT APPLICABLE","All mammalian food producing species","No MRL required","NOT APPLICABLE","For intravenous administration only.","NO ENTRY",NA,NA,NA
"Thioctic acid","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Thiomersal","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use only as preservatives in multidose vaccines at a concentration not exceeding 0,02 %.","NO ENTRY",NA,NA,NA
"Thiopental sodium","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For intravenous administration only.","NO ENTRY",NA,NA,NA
"Threonine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Thuja occidentalis","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias, at concentrations in the products not exceeding one part per hundred only.","NO ENTRY",NA,NA,NA
"Thymi aetheroleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Thymidine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Thymol","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Tiamulin","Sum of metabolites that may be hydrolysed to 8-α-hydroxymutilin","Porcine, rabbit","100 μg/kg","Muscle","NO ENTRY","Anti-infectious agents/Antibiotics",100,"μg/kg","muscle"
"Tiamulin","Sum of metabolites that may be hydrolysed to 8-α-hydroxymutilin","Porcine, rabbit","500 μg/kg","Liver","NO ENTRY","Anti-infectious agents/Antibiotics",500,"μg/kg","liver"
"Tiamulin","Sum of metabolites that may be hydrolysed to 8-α-hydroxymutilin","Chicken","100 μg/kg","Muscle","NO ENTRY","Anti-infectious agents/Antibiotics",100,"μg/kg","muscle"
"Tiamulin","Sum of metabolites that may be hydrolysed to 8-α-hydroxymutilin","Chicken","100 μg/kg","Skin and fat","NO ENTRY","Anti-infectious agents/Antibiotics",100,"μg/kg","skin_fat"
"Tiamulin","Sum of metabolites that may be hydrolysed to 8-α-hydroxymutilin","Chicken","1 000  μg/kg","Liver","NO ENTRY","Anti-infectious agents/Antibiotics",1000,"μg/kg","liver"
"Tiamulin","Sum of metabolites that may be hydrolysed to 8-α-hydroxymutilin","Turkey","100 μg/kg","Muscle","NO ENTRY","Anti-infectious agents/Antibiotics",100,"μg/kg","muscle"
"Tiamulin","Sum of metabolites that may be hydrolysed to 8-α-hydroxymutilin","Turkey","100 μg/kg","Skin and fat","NO ENTRY","Anti-infectious agents/Antibiotics",100,"μg/kg","skin_fat"
"Tiamulin","Sum of metabolites that may be hydrolysed to 8-α-hydroxymutilin","Turkey","300 μg/kg","Liver","NO ENTRY","Anti-infectious agents/Antibiotics",300,"μg/kg","liver"
"Tiamulin","Tiamulin","Chicken","1 000  μg/kg","Eggs","NO ENTRY","Anti-infectious agents/Antibiotics",1000,"μg/kg","eggs"
"Tiaprost","NOT APPLICABLE","Bovine, ovine, porcine, Equidae","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Tildipirosin","Tildipirosin","Bovine, caprine","400  μg/kg","Muscle","Not for use in animals from which milk is produced for human consumption.","Anti-infectious agents/Antibiotics",400,"μg/kg","muscle"
"Tildipirosin","Tildipirosin","Bovine, caprine","200  μg/kg","Fat","Not for use in animals from which milk is produced for human consumption.","Anti-infectious agents/Antibiotics",200,"μg/kg","fat"
"Tildipirosin","Tildipirosin","Bovine, caprine","2 000  μg/kg","Liver","Not for use in animals from which milk is produced for human consumption.","Anti-infectious agents/Antibiotics",2000,"μg/kg","liver"
"Tildipirosin","Tildipirosin","Bovine, caprine","3 000  μg/kg","Kidney","Not for use in animals from which milk is produced for human consumption.","Anti-infectious agents/Antibiotics",3000,"μg/kg","kidney"
"Tildipirosin","Tildipirosin","Porcine","1 200  μg/kg","Muscle","","Anti-infectious agents/Antibiotics",1200,"μg/kg","muscle"
"Tildipirosin","Tildipirosin","Porcine","800  μg/kg","Skin and fat in natural proportions","","Anti-infectious agents/Antibiotics",800,"μg/kg","skin_fat"
"Tildipirosin","Tildipirosin","Porcine","5 000  μg/kg","Liver","","Anti-infectious agents/Antibiotics",5000,"μg/kg","liver"
"Tildipirosin","Tildipirosin","Porcine","10 000  μg/kg","Kidney","","Anti-infectious agents/Antibiotics",10000,"μg/kg","kidney"
"Tiliae flos","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Tilmicosin","Tilmicosin","Poultry","75 μg/kg","Muscle","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",75,"μg/kg","muscle"
"Tilmicosin","Tilmicosin","Poultry","75 μg/kg","Skin and fat","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",75,"μg/kg","skin_fat"
"Tilmicosin","Tilmicosin","Poultry","1 000  μg/kg","Liver","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",1000,"μg/kg","liver"
"Tilmicosin","Tilmicosin","Poultry","250 μg/kg","Kidney","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",250,"μg/kg","kidney"
"Tilmicosin","Tilmicosin","All other food producing species","50 μg/kg","Muscle","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","muscle"
"Tilmicosin","Tilmicosin","All other food producing species","50 μg/kg","Fat","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","fat"
"Tilmicosin","Tilmicosin","All other food producing species","1 000  μg/kg","Liver","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",1000,"μg/kg","liver"
"Tilmicosin","Tilmicosin","All other food producing species","1 000  μg/kg","Kidney","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",1000,"μg/kg","kidney"
"Tilmicosin","Tilmicosin","All other food producing species","50 μg/kg","Milk","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","milk"
"Tiludronic acid (in the form of disodium salt)","NOT APPLICABLE","Equidae","No MRL required","NOT APPLICABLE","For intravenous use only.","NO ENTRY",NA,NA,NA
"Tiludronic acid (in the form of disodium salt)","NOT APPLICABLE","Poultry","No MRL required","NOT APPLICABLE","For parenteral use only and for use in laying and breeder birds only.","NO ENTRY",NA,NA,NA
"Timerfonate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use only as preservatives in multidose vaccines at a concentration not exceeding 0,02 %.","NO ENTRY",NA,NA,NA
"Toldimfos","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Tolfenamic acid","Tolfenamic acid","Bovine,","50 μg/kg","Muscle","NO ENTRY","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",50,"μg/kg","muscle"
"Tolfenamic acid","Tolfenamic acid","porcine","50 μg/kg","Muscle","NO ENTRY","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",50,"μg/kg","muscle"
"Tolfenamic acid","Tolfenamic acid","Bovine,","400 μg/kg","Liver","NO ENTRY","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",400,"μg/kg","liver"
"Tolfenamic acid","Tolfenamic acid","porcine","400 μg/kg","Liver","NO ENTRY","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",400,"μg/kg","liver"
"Tolfenamic acid","Tolfenamic acid","Bovine,","100 μg/kg","Kidney","NO ENTRY","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",100,"μg/kg","kidney"
"Tolfenamic acid","Tolfenamic acid","porcine","100 μg/kg","Kidney","NO ENTRY","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",100,"μg/kg","kidney"
"Tolfenamic acid","Tolfenamic acid","Bovine","50 μg/kg","Milk","NO ENTRY","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",50,"μg/kg","milk"
"Toltrazuril","Toltrazuril sulfone","All mammalian food producing species","100  μg/kg","Muscle","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents acting against protozoa",100,"μg/kg","muscle"
"Toltrazuril","Toltrazuril sulfone","All mammalian food producing species","150  μg/kg","Fat","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents acting against protozoa",150,"μg/kg","fat"
"Toltrazuril","Toltrazuril sulfone","All mammalian food producing species","500  μg/kg","Liver","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents acting against protozoa",500,"μg/kg","liver"
"Toltrazuril","Toltrazuril sulfone","All mammalian food producing species","250  μg/kg","Kidney","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents acting against protozoa",250,"μg/kg","kidney"
"Toltrazuril","Toltrazuril sulfone","Poultry","100  μg/kg","Muscle","NO ENTRY","Antiparasitic agents/Agents acting against protozoa",100,"μg/kg","muscle"
"Toltrazuril","Toltrazuril sulfone","Poultry","200  μg/kg","Skin and fat","NO ENTRY","Antiparasitic agents/Agents acting against protozoa",200,"μg/kg","skin_fat"
"Toltrazuril","Toltrazuril sulfone","Poultry","600  μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents acting against protozoa",600,"μg/kg","liver"
"Toltrazuril","Toltrazuril sulfone","Poultry","400  μg/kg","Kidney","NO ENTRY","Antiparasitic agents/Agents acting against protozoa",400,"μg/kg","kidney"
"Toltrazuril","Toltrazuril sulfone","Poultry","140  μg/kg","Eggs","NO ENTRY","Antiparasitic agents/Agents acting against protozoa",140,"μg/kg","eggs"
"Tosylchloramide sodium","NOT APPLICABLE","Bovine, Equidae","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Tosylchloramide sodium","NOT APPLICABLE","Fin fish","No MRL required","NOT APPLICABLE","For water-borne use only.","NO ENTRY",NA,NA,NA
"Tragacanth","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Tricaine mesilate","NOT APPLICABLE","Fin fish","No MRL required","NOT APPLICABLE","For water borne use only.","NO ENTRY",NA,NA,NA
"Trichlormethiazide","NOT APPLICABLE","All mammalian food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Triclabendazole","Sum of the extractable residues that may be oxidised to ketotriclabendazole","All ruminants","225  μg/kg","Muscle","NO ENTRY","Antiparasitic agents/Agents against endoparasites",225,"μg/kg","muscle"
"Triclabendazole","Sum of the extractable residues that may be oxidised to ketotriclabendazole","All ruminants","100  μg/kg","Fat","NO ENTRY","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","fat"
"Triclabendazole","Sum of the extractable residues that may be oxidised to ketotriclabendazole","All ruminants","250  μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents against endoparasites",250,"μg/kg","liver"
"Triclabendazole","Sum of the extractable residues that may be oxidised to ketotriclabendazole","All ruminants","150  μg/kg","Kidney","NO ENTRY","Antiparasitic agents/Agents against endoparasites",150,"μg/kg","kidney"
"Triclabendazole","Sum of the extractable residues that may be oxidised to ketotriclabendazole","All ruminants","10  μg/kg","Milk","NO ENTRY","Antiparasitic agents/Agents against endoparasites",10,"μg/kg","milk"
"Trimethoprim","Trimethoprim","Equidae","100 μg/kg","Fat","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/
                           Chemotheurapeutics",100,"μg/kg","fat"
"Trimethoprim","Trimethoprim","Equidae","100 μg/kg","Muscle","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/
                           Chemotheurapeutics",100,"μg/kg","muscle"
"Trimethoprim","Trimethoprim","Equidae","100 μg/kg","Liver","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/
                           Chemotheurapeutics",100,"μg/kg","liver"
"Trimethoprim","Trimethoprim","Equidae","100 μg/kg","Kidney","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/
                           Chemotheurapeutics",100,"μg/kg","kidney"
"Trimethoprim","Trimethoprim","All other food producing species","50 μg/kg","Muscle","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/
                           Chemotheurapeutics",50,"μg/kg","muscle"
"Trimethoprim","Trimethoprim","All other food producing species","50 μg/kg","Fat","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/
                           Chemotheurapeutics",50,"μg/kg","fat"
"Trimethoprim","Trimethoprim","All other food producing species","50 μg/kg","Liver","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/
                           Chemotheurapeutics",50,"μg/kg","liver"
"Trimethoprim","Trimethoprim","All other food producing species","50 μg/kg","Kidney","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/
                           Chemotheurapeutics",50,"μg/kg","kidney"
"Trimethoprim","Trimethoprim","All other food producing species","50 μg/kg","Milk","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/
                           Chemotheurapeutics",50,"μg/kg","milk"
"Trimethylphloroglucinol","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Triptorelin acetate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","Agents acting on the reproductive system",NA,NA,NA
"Trypsin","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Tryptophan","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Tulathromycin","(2R,3S,4R,5R,8R,10R,11R,12S, 13S,14R)-2-ethyl-3,4,10,13-tetra-hydroxy-3,5,8,10,12,14-hexamethyl-11-[[3,4,6-trideoxy-3-(dimethy-lamino)-ß-D-xylo-hexopyranosyl]oxy]-1-oxa-6-azacyclopent-decan-15-one expressed as tulathromycin equivalents","Ovine, caprine","450 μg/kg","Muscle","Not for use in animals from which milk is produced for human consumption","Anti-infectious agents/Antibiotics",450,"μg/kg","muscle"
"Tulathromycin","(2R,3S,4R,5R,8R,10R,11R,12S, 13S,14R)-2-ethyl-3,4,10,13-tetra-hydroxy-3,5,8,10,12,14-hexamethyl-11-[[3,4,6-trideoxy-3-(dimethy-lamino)-ß-D-xylo-hexopyranosyl]oxy]-1-oxa-6-azacyclopent-decan-15-one expressed as tulathromycin equivalents","Ovine, caprine","250 μg/kg","Fat","Not for use in animals from which milk is produced for human consumption","Anti-infectious agents/Antibiotics",250,"μg/kg","fat"
"Tulathromycin","(2R,3S,4R,5R,8R,10R,11R,12S, 13S,14R)-2-ethyl-3,4,10,13-tetra-hydroxy-3,5,8,10,12,14-hexamethyl-11-[[3,4,6-trideoxy-3-(dimethy-lamino)-ß-D-xylo-hexopyranosyl]oxy]-1-oxa-6-azacyclopent-decan-15-one expressed as tulathromycin equivalents","Ovine, caprine","5 400  μg/kg","Liver","Not for use in animals from which milk is produced for human consumption","Anti-infectious agents/Antibiotics",5400,"μg/kg","liver"
"Tulathromycin","(2R,3S,4R,5R,8R,10R,11R,12S, 13S,14R)-2-ethyl-3,4,10,13-tetra-hydroxy-3,5,8,10,12,14-hexamethyl-11-[[3,4,6-trideoxy-3-(dimethy-lamino)-ß-D-xylo-hexopyranosyl]oxy]-1-oxa-6-azacyclopent-decan-15-one expressed as tulathromycin equivalents","Ovine, caprine","1 800  μg/kg","Kidney","Not for use in animals from which milk is produced for human consumption","Anti-infectious agents/Antibiotics",1800,"μg/kg","kidney"
"Tulathromycin","(2R,3S,4R,5R,8R,10R,11R,12S, 13S,14R)-2-ethyl-3,4,10,13-tetra-hydroxy-3,5,8,10,12,14-hexamethyl-11-[[3,4,6-trideoxy-3-(dimethy-lamino)-ß-D-xylo-hexopyranosyl]oxy]-1-oxa-6-azacyclopent-decan-15-one expressed as tulathromycin equivalents","Bovine","300 μg/kg","Muscle","Not for use in animals from which milk is produced for human consumption","Anti-infectious agents/Antibiotics",300,"μg/kg","muscle"
